=== Testing mode: linear ===

Instance 1:
Nodes: 100, Edges: 400, Exec Time: 47.4992 sec,  PoA: 1.003, Equilibrium Iterations: 14, Social Optimality Iterations: 20

Instance 4:
Nodes: 10, Edges: 40, Exec Time: 0.3948 sec,  PoA: 1.001, Equilibrium Iterations: 13, Social Optimality Iterations: 21
Nodes: 20, Edges: 80, Exec Time: 1.4042 sec,  PoA: 1.017, Equilibrium Iterations: 13, Social Optimality Iterations: 18
Nodes: 30, Edges: 120, Exec Time: 2.7972 sec,  PoA: 1.004, Equilibrium Iterations: 14, Social Optimality Iterations: 17
Nodes: 40, Edges: 160, Exec Time: 4.5951 sec,  PoA: 1.008, Equilibrium Iterations: 13, Social Optimality Iterations: 17
Nodes: 50, Edges: 200, Exec Time: 9.5838 sec,  PoA: 1.014, Equilibrium Iterations: 15, Social Optimality Iterations: 21
Nodes: 60, Edges: 240, Exec Time: 14.4641 sec,  PoA: 1.019, Equilibrium Iterations: 15, Social Optimality Iterations: 21
Nodes: 70, Edges: 280, Exec Time: 20.6495 sec,  PoA: 1.008, Equilibrium Iterations: 17, Social Optimality Iterations: 20
Nodes: 80, Edges: 320, Exec Time: 36.1594 sec,  PoA: 1.007, Equilibrium Iterations: 17, Social Optimality Iterations: 24
Nodes: 90, Edges: 360, Exec Time: 4.7957 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 100, Edges: 400, Exec Time: 58.0532 sec,  PoA: 0.633, Equilibrium Iterations: 23, Social Optimality Iterations: 12

Instance 5:
Nodes: 10, Edges: 40, Exec Time: 0.5085 sec,  PoA: 1.001, Equilibrium Iterations: 15, Social Optimality Iterations: 23
Nodes: 20, Edges: 80, Exec Time: 1.3057 sec,  PoA: 1.035, Equilibrium Iterations: 12, Social Optimality Iterations: 17
Nodes: 30, Edges: 120, Exec Time: 2.7924 sec,  PoA: 1.019, Equilibrium Iterations: 14, Social Optimality Iterations: 18
Nodes: 40, Edges: 160, Exec Time: 1.2833 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 50, Edges: 200, Exec Time: 9.7477 sec,  PoA: 1.005, Equilibrium Iterations: 17, Social Optimality Iterations: 20
Nodes: 60, Edges: 240, Exec Time: 16.4709 sec,  PoA: 1.014, Equilibrium Iterations: 17, Social Optimality Iterations: 22
Nodes: 70, Edges: 280, Exec Time: 19.9093 sec,  PoA: 1.006, Equilibrium Iterations: 15, Social Optimality Iterations: 18
Nodes: 80, Edges: 320, Exec Time: 32.2009 sec,  PoA: 1.004, Equilibrium Iterations: 15, Social Optimality Iterations: 22
Nodes: 90, Edges: 360, Exec Time: 38.3527 sec,  PoA: 1.006, Equilibrium Iterations: 13, Social Optimality Iterations: 22
Nodes: 100, Edges: 400, Exec Time: 59.2853 sec,  PoA: 1.011, Equilibrium Iterations: 16, Social Optimality Iterations: 21

Instance 6:
Nodes: 10, Edges: 40, Exec Time: 0.3927 sec,  PoA: 1.021, Equilibrium Iterations: 13, Social Optimality Iterations: 19
Nodes: 20, Edges: 80, Exec Time: 1.0713 sec,  PoA: 1.008, Equilibrium Iterations: 13, Social Optimality Iterations: 18
